Date,Austin_HPI
2015-02-28,65.09900990099
2015-01-31,49.873737373737
2014-12-31,39.805825242718
2014-11-30,40.353260869565
2014-10-31,40.20979020979
2014-09-30,37.593984962406005
2014-08-31,39.246467817896
2014-07-31,40.452111838191
2014-06-30,38.968824940048
2014-05-31,53.613979348689
2014-04-30,55.582042113627004
2014-03-31,46.728971962616995
2014-02-28,33.459595959596
2014-01-31,34.426229508197
2013-12-31,31.618435155413
2013-11-30,29.174147217235
2013-10-31,33.841592545531995
2013-09-30,36.031042128603
2013-08-31,36.684782608696
2013-07-31,40.064102564102996
2013-06-30,36.936529473843
2013-05-31,34.645061728395
2013-04-30,30.080213903743
2013-03-31,32.098765432099
2013-02-28,32.785087719298
2013-01-31,33.125
2012-12-31,33.125
2012-11-30,30.080213903743
2012-10-31,29.156908665105
2012-09-30,29.156908665105
2012-08-31,29.156908665105
2012-07-31,29.156908665105
2012-06-30,30.601659751037
2012-05-31,33.333333333333
2012-04-30,35.888077858881005
2012-03-31,34.375
2012-02-29,34.722222222222
2012-01-31,34.375
2011-12-31,35.011709601873
2011-11-30,32.670454545454
2011-10-31,38.338658146964995
2011-09-30,35.888077858881005
2011-08-31,43.720190779014
2011-07-31,37.689393939394
2011-06-30,39.225941422594
2011-05-31,40.178571428571
2011-04-30,36.826568265683
2011-03-31,41.522762951334
2011-02-28,42.274939172749
2011-01-31,44.616299821534994
2010-12-31,44.616299821534994
2010-11-30,44.616299821534994
2010-10-31,42.274939172749
2010-09-30,46.384297520661
2010-08-31,47.297297297297
2010-07-31,46.875
2010-06-30,46.384297520661
2010-05-31,48.472222222222
2010-04-30,48.553719008265
2010-03-31,54.858934169279
2010-02-28,56.765899864682
2010-01-31,60.032894736842
2009-12-31,56.25
2009-11-30,56.25
2009-10-31,53.827153110048
2009-09-30,53.827153110048
2009-08-31,55.527777777778
2009-07-31,60.0
2009-06-30,56.25
2009-05-31,53.317535545024
2009-04-30,53.270432692308
2009-03-31,51.546391752577
2009-02-28,51.546391752577
2009-01-31,51.48195876288701
2008-12-31,51.546391752577
2008-11-30,49.783080260304004
2008-10-31,48.941798941799
